"V1","V2","V3","V4","V5","V6"
"Crop","","Kc mid","Kc end","Maximum Crop Height (h) (m)",NA
"a. Small Vegetables","0.7","1.05","0.95","",NA
"Broccoli","","1.05","0.95","0.3",NA
"Brussel Sprouts","","1.05","0.95","0.4",NA
"Cabbage","","1.05","0.95","0.4",NA
"Carrots","","1.05","0.95","0.3",NA
"Cauliflower","","1.05","0.95","0.4",NA
"Celery","","1.05","1.00","0.6",NA
"Garlic","","1.00","0.70","0.3",NA
"Lettuce","","1.00","0.95","0.3",NA
"Onions","","","","",NA
"","- dry","","1.05","0.75","0.4"
"","- green","","1.00","1.00","0.3"
"","- seed","","1.05","0.80","0.5"
"Spinach","","1.00","0.95","0.3",NA
"Radish","","0.90","0.85","0.3",NA
"b. Vegetables - Solanum Family (Solanaceae)","0.6","1.15","0.80","",NA
"Egg Plant","","1.05","0.90","0.8",NA
"Sweet Peppers (bell)","","1.052","0.90","0.7",NA
"Tomato","","1.152","0.70-0.90","0.6",NA
"c. Vegetables - Cucumber Family (Cucurbitaceae)","0.5","1.00","0.80","",NA
"Cantaloupe","0.5","0.85","0.60","0.3",NA
"Cucumber","","","","",NA
"","- Fresh Market","0.6","1.002","0.75","0.3"
"","- Machine harvest","0.5","1.00","0.90","0.3"
"Pumpkin, Winter Squash","","1.00","0.80","0.4",NA
"Squash, Zucchini","","0.95","0.75","0.3",NA
"Sweet Melons","","1.05","0.75","0.4",NA
"Watermelon","0.4","1.00","0.75","0.4",NA
"d. Roots and Tubers","0.5","1.10","0.95","",NA
"Beets, table","","1.05","0.95","0.4",NA
"Cassava","","","","",NA
"","- year 1","0.3","0.803","0.30","1.0"
"","- year 2","0.3","1.10","0.50","1.5"
"Parsnip","0.5","1.05","0.95","0.4",NA
"Potato","","1.15","0.754","0.6",NA
"Sweet Potato","","1.15","0.65","0.4",NA
"Turnip (and Rutabaga)","","1.10","0.95","0.6",NA
"Sugar Beet","0.35","1.20","0.705","0.5",NA
"e. Legumes (Leguminosae)","0.4","1.15","0.55","",NA
"Beans, green","0.5","1.052","0.90","0.4",NA
"Beans, dry and Pulses","0.4","1.152","0.35","0.4",NA
"Chick pea","","1.00","0.35","0.4",NA
"Fababean (broad bean)","","","","",NA
"","- Fresh","0.5","1.152","1.10","0.8"
"","- Dry/Seed","0.5","1.152","0.30","0.8"
"Grabanzo","0.4","1.15","0.35","0.8",NA
"Green Gram and Cowpeas","","1.05","0.60-0.356","0.4",NA
"Groundnut (Peanut)","","1.15","0.60","0.4",NA
"Lentil","","1.10","0.30","0.5",NA
"Peas","","","","",NA
"","- Fresh","0.5","1.152","1.10","0.5"
"","- Dry/Seed","","1.15","0.30","0.5"
"Soybeans","","1.15","0.50","0.5-1.0",NA
"f. Perennial Vegetables (with winter dormancy and initially bare or mulched soil)","0.5","1.00","0.80","",NA
"Artichokes","0.5","1.00","0.95","0.7",NA
"Asparagus","0.5","0.957","0.30","0.2-0.8",NA
"Mint","0.60","1.15","1.10","0.6-0.8",NA
"Strawberries","0.40","0.85","0.75","0.2",NA
"g. Fibre Crops","0.35","","","",NA
"Cotton","","1.15-1.20","0.70-0.50","1.2-1.5",NA
"Flax","","1.10","0.25","1.2",NA
"Sisal 8","","0.4-0.7","0.4-0.7","1.5",NA
"h. Oil Crops","0.35","1.15","0.35","",NA
"Castorbean (Ricinus)","","1.15","0.55","0.3",NA
"Rapeseed, Canola","","1.0-1.159","0.35","0.6",NA
"Safflower","","1.0-1.159","0.25","0.8",NA
"Sesame","","1.10","0.25","1.0",NA
"Sunflower","","1.0-1.159","0.35","2.0",NA
"i. Cereals","0.3","1.15","0.4","",NA
"Barley","","1.15","0.25","1",NA
"Oats","","1.15","0.25","1",NA
"Spring Wheat","","1.15","0.25-0.410","1",NA
"Winter Wheat","","","","",NA
"","- with frozen soils","0.4","1.15","0.25-0.410","1"
"","- with non-frozen soils","0.7","1.15","0.25-0.410",""
"Maize, Field (grain) (field corn)","","1.20","0.60-0.3511","2",NA
"Maize, Sweet (sweet corn)","","1.15","1.0512","1.5",NA
"Millet","","1.00","0.30","1.5",NA
